trial,estimate_value
1,-8.621003670963356
2,-8.593632861128963
3,-7.9085331854166725
4,-7.908565706724561
5,-7.63606952837643
6,-8.314708310103713
7,-7.749505045703726
8,-7.629962959183214
9,-7.905723190526633
10,-7.979583952285015
11,-7.693655481572078
12,-8.37820222861901
13,-7.942333446738337
14,-8.000913226346785
15,-7.742002252467522
16,-8.388518704177674
17,-8.300888003336492
18,-8.278410394777527
19,-7.528642483164324
20,-7.592181603924735
21,-8.043394394081226
22,-7.507770985367987
23,-7.56896918132528
24,-9.036683413234218
25,-8.43534819227387
26,-8.34797975335448
27,-7.859538003657099
28,-8.37355388125474
29,-7.3250585393159104
30,-7.787313502678799
31,-6.9757438094709965
32,-8.254279351689153
33,-8.475518555016782
34,-8.198327281784515
35,-7.982690105880971
36,-7.573996760200849
37,-7.85928847705269
38,-8.36548640832156
39,-8.378546314198054
40,-7.655173108803129
41,-8.497048585725347
42,-7.9200863161637365
43,-8.220681758655854
44,-7.694364946638913
45,-8.313694653404262
46,-8.310873261067595
47,-7.476800979602679
48,-7.567665347645777
49,-7.963402951258367
50,-7.316365134254815
51,-7.750233582515695
52,-7.319204496005769
53,-7.785365435379884
54,-8.569136255740581
55,-7.7468908370611285
56,-7.423895567938748
57,-8.092896073246377
58,-7.729264725390361
59,-8.42771267097687
60,-8.256893637017491
61,-7.743570115743907
62,-8.169576268777359
63,-8.247242312179445
64,-8.376178844405786
65,-7.705126618252949
66,-8.45066826151431
67,-8.238484300254505
68,-7.751405419146776
69,-7.445550226541514
70,-7.550159370347536
71,-8.253165018332142
72,-7.95729432694643
73,-8.153381114946946
74,-8.31381250639982
75,-7.010326548298872
76,-7.475350089021594
77,-7.610764532472947
78,-7.916564116377417
79,-8.331721846771966
80,-7.760346547882433
81,-8.11926952811389
82,-8.027003541289663
83,-8.530836804253681
84,-7.91800023105284
85,-8.439796133024707
86,-8.018812508795166
87,-8.173204766086114
88,-7.630827512448192
89,-8.064192250733992
90,-8.338750537505463
91,-8.09510925620183
92,-7.969235497155665
93,-7.615072568190524
94,-7.8162047487262685
95,-8.413533010763002
96,-8.269284917614604
97,-8.848850092534306
98,-7.816719900187895
99,-7.620629191366369
100,-7.736572543750844
101,-8.166070589298165
102,-8.267497726785635
103,-8.00668165952288
104,-8.431033909162368
105,-8.1997902388368
106,-8.478598598149956
107,-7.324282785511404
108,-7.438821228733017
109,-7.480118375698018
110,-7.755633993470893
111,-7.821173464091589
112,-8.089574081196492
113,-8.048435881342563
114,-8.093163417183865
115,-8.146149799933752
116,-8.594892968214749
117,-8.247171585132593
118,-7.6261065190510795
119,-8.134205402234018
120,-7.970765820419311
121,-8.274194235273118
122,-8.037050676741151
123,-8.123761113798544
124,-8.075223508332758
125,-7.904236094180387
126,-7.706630220669286
127,-8.071335579169816
128,-7.619099826301085
129,-8.318646680828719
130,-6.597095906734375
131,-7.7590555027019645
132,-7.530851599351685
133,-8.463167024497753
134,-8.640742998086884
135,-7.351223187407181
136,-7.76478009599078
137,-7.790873754936827
138,-8.665316913290354
139,-8.059819877873494
140,-7.820907384529514
141,-8.42103473472082
142,-7.437847424974038
143,-7.96845181514216
144,-7.7614877127169795
145,-8.017319095801433
146,-7.53109823835039
147,-8.421116050166876
148,-7.487958660795751
149,-7.518831192123663
150,-8.142753397528562
151,-7.794908930957696
152,-8.036059929696584
153,-8.078373088799635
154,-8.473556936933262
155,-8.45037986139138
156,-8.643106636088346
157,-8.859535504244146
158,-8.02003960129339
159,-7.504034981566746
160,-6.742517749786221
161,-8.432861793808142
162,-7.654234289148558
163,-7.872151187818245
164,-8.036465647838554
165,-7.641754378050646
166,-7.619511871263418
167,-7.862043968546551
168,-8.526768693005277
169,-7.91657505631822
170,-8.285999003639336
171,-8.08269832045876
172,-8.484526941860464
173,-8.548673017017421
174,-7.903777328797161
175,-7.396278142379075
176,-7.475933463013851
177,-8.434805913444134
178,-8.034860101639163
179,-8.459762589167422
180,-8.102063982613902
181,-8.101223830987486
182,-8.492144561624368
183,-8.652394227918862
184,-7.712862874450087
185,-8.015070151664888
186,-7.374529467874371
187,-7.135167336733227
188,-7.8919044709274395
189,-7.949048432144328
190,-7.870134121731381
191,-8.24026929903252
192,-7.954765434666973
193,-8.018891099542794
194,-8.15111241660696
195,-8.149228217952066
196,-8.12658327462728
197,-8.950674084435676
198,-8.061292035577186
199,-8.54230160266384
200,-7.0173774103168896
201,-8.176779371934002
202,-7.72731189722192
203,-7.912335019065471
204,-8.890313856864852
205,-8.88700972610432
206,-7.865866884345156
207,-8.655825093928168
208,-8.087583817918249
209,-8.423063682579556
210,-7.431217806512277
211,-7.581786526725072
212,-8.230045306622314
213,-7.584999176064608
214,-7.676723453423093
215,-7.525425552375856
216,-8.75745407195219
217,-7.866257991269974
218,-7.405848093074685
219,-7.972116568307678
220,-7.435704327583412
221,-7.89883069502336
222,-7.8279740931812665
223,-7.887104683985522
224,-7.725918599739927
225,-7.597752689844595
226,-8.227036155892026
227,-7.4788040359756005
228,-7.928446472067765
229,-8.233424452539687
230,-8.259418197894295
231,-7.615096692115687
232,-7.857390691430567
233,-8.197107749929055
234,-8.601679293556504
235,-8.174491399116693
236,-8.01102912108841
237,-7.421434687369263
238,-8.393299650014614
239,-8.10436745290737
240,-7.751183919178999
241,-8.518023024139
242,-8.0880533408268
243,-7.680147283589006
244,-7.829330398255156
245,-7.343213491354659
246,-8.07525835391766
247,-7.993675871729981
248,-7.6608465910075605
249,-7.501482602458081
250,-7.641993959180783
251,-8.149794100661884
252,-8.195853372103706
253,-7.853159577086291
254,-8.482051347983045
255,-7.936859049469521
256,-8.356239158733704
257,-8.10325810994136
258,-7.952187297566676
259,-8.172492666209799
260,-8.216565196462934
261,-8.23728474630193
262,-7.9994364365222905
263,-8.517517552013441
264,-8.309137221486026
265,-7.734601842274126
266,-7.94602702316371
267,-8.757793771542339
268,-7.629407057956221
269,-7.748798757868107
270,-8.280320772903336
271,-8.39258375088456
272,-7.248134970798386
273,-8.471380365145901
274,-7.721408309288879
275,-8.180182124488908
276,-8.336285212308645
277,-7.527918052076118
278,-7.206903618067871
