trial,estimate_value
1,2.4447126537473594
2,3.116204084490604
3,1.288273446776456
4,-2.8535635437484435
5,0.8303978386499233
6,3.3320636387053018
7,2.833077922270712
8,-1.125217121123324
9,-3.2827287542387906
10,-0.2684871092535981
11,1.5697612042662978
12,-3.3849021450787498
13,-2.4815648257154392
14,0.7196853673090204
15,-5.39535772987664
16,-5.110496693487568
17,-2.80268868796956
18,5.034376442822686
19,2.4285649125944464
20,1.3105558363893695
21,5.654995463928977
22,3.2486373172752034
23,3.726251691573986
24,-0.3122456427628979
25,0.9505710727117582
26,1.7667913623744191
27,0.2828631134699844
28,0.4536670979040096
29,-0.9106523145534755
30,2.8355655499152297
31,-1.1789540544913115
32,3.18740344139757
33,9.222511989883024
34,0.7927214068201576
35,7.631888987358991
36,-5.412793802399754
37,7.519146565441681
38,7.248902250340538
39,0.332211497603637
40,2.6314457766319808
41,0.03336857382517344
42,2.1654071433725672
43,1.2923238359059825
44,-4.309635298981538
45,4.750600477829156
46,10.282205960291225
47,8.928936885964758
48,5.801568691659242
49,5.691300106581892
50,5.8052383780149075
51,-0.4139998120392625
52,3.5465194169627607
53,-6.721962839850095
54,-1.8255541090083875
55,-2.43142932733753
56,0.524858102999282
57,0.4234471970380138
58,5.196517625437311
59,0.9568065044766068
60,2.966774386797196
61,1.3384607452745358
62,0.3637328371123898
63,-2.499339489038244
64,0.07961888671660988
65,-10.657581014210985
66,3.7783260895181687
67,0.5387940965327656
68,-8.806160849310514
69,3.3470143242044674
70,5.19420752653959
71,-3.3344888424932133
72,-1.9951277844623303
73,-2.304021689106444
74,-1.4944540104901023
75,-2.901125906428355
76,4.77590896754281
77,-5.258502118488803
78,6.124288224467436
79,-5.113583284099142
80,-5.537996909420985
81,2.0761994971185675
82,-4.450557899862088
83,3.2465640620360734
84,6.1948201229295385
85,0.5944256953923586
86,4.371587696744247
87,3.627680988773947
88,-1.511730254626738
89,2.292824081653075
90,5.6212071300797835
91,1.3601068097814395
92,5.275027056858958
93,3.507447876460592
94,5.019681107838929
95,2.5304928682320256
96,2.8508988528701056
97,3.163939317146885
98,-2.7900678997531827
99,1.28804861318806
100,-1.2025796606505574
