trial,estimate_value
1,-8.044572877389626
2,-8.879329393673899
3,-6.34369338300289
4,-6.266669766013646
5,-7.970478050103824
6,-7.673687650459737
7,-6.339902473409079
8,-8.490941374274573
9,-7.745819706626527
10,-6.233389893023566
11,-9.042954325985107
12,-6.765152749632483
13,-8.275808983482918
14,-7.4480137209418045
15,-7.586734906265118
16,-7.519871973545511
17,-6.864213461758233
18,-6.456652949575403
19,-6.949005811762079
20,-6.822918591802092
21,-8.517466086870405
22,-7.197880764829825
23,-9.598326772464066
24,-8.042577051228038
25,-6.537098517995663
26,-6.652187671352662
27,-6.239178531224983
28,-8.11157145143143
29,-7.863915454965296
30,-8.122770206647798
31,-7.663162588759215
32,-6.410045233609741
33,-9.088735734148509
34,-6.148882875010648
35,-7.157668138735611
36,-8.397039627116188
37,-8.586931049081638
38,-6.350488938637053
39,-6.725035289070498
40,-7.255721940670455
41,-6.466165112071479
42,-8.623914472043463
43,-6.944646014316451
44,-9.04739502150622
45,-6.858131116580585
46,-6.98225940164321
47,-9.669582246720271
48,-7.859197697312485
49,-8.18069348484431
50,-6.7266669940085615
51,-7.16709648027116
52,-8.494204204775638
53,-7.625678612012056
54,-8.314288131042899
55,-6.909330646776526
56,-9.446815797058699
57,-8.064488647910037
58,-7.2377101348920565
59,-6.605260328537951
60,-9.724771706079977
61,-7.5423169625121105
62,-6.2772555937286985
63,-7.726488841181135
64,-6.937432600275191
65,-7.658073143645135
66,-7.184138739449296
67,-8.585030254216068
68,-8.32129970865411
69,-7.633568681939888
70,-8.928184947436975
71,-7.4849506799513446
72,-7.347542119373228
73,-7.592480129751659
74,-6.327035461905339
75,-9.769198656242034
76,-8.058444242335991
77,-8.056213444079967
78,-7.437909064940708
79,-9.67690036165886
80,-7.494065333044935
81,-7.098785259060242
82,-7.463877156341347
83,-11.489588551010652
84,-6.51743388796506
85,-7.359567061898359
86,-9.122863829538167
87,-9.12249976122177
88,-7.006757949780269
89,-9.689815356596121
90,-9.127513245117193
91,-9.392617318503373
92,-7.568842040943569
93,-8.084692359095854
94,-9.661634833843888
95,-8.219365083265226
96,-7.714297553486102
97,-7.870275108065902
98,-7.06535147424693
99,-7.492898476515775
100,-6.502815722760838
101,-7.696312043783216
102,-7.564174181986496
103,-7.629444869170849
104,-11.04146942728405
105,-9.693041784984397
106,-8.026783219559855
107,-8.26680322353302
108,-10.03276899192532
109,-8.539935157503987
110,-8.806763064304876
111,-7.385111198132229
112,-5.3330278488485785
113,-10.184498338474675
114,-6.738656657228697
115,-8.72139247816281
116,-8.801300330638483
117,-7.530268014330032
118,-7.9720405280030455
119,-8.041090166328916
120,-6.58816128181599
121,-8.856169187164234
122,-8.38513685971495
123,-8.800499708704383
124,-8.615778254625452
125,-7.641440900231908
126,-8.555640551151248
127,-8.47187502600975
128,-5.477151270264278
129,-8.322809540003966
130,-9.73513904055564
131,-9.524088322252261
132,-7.554260211253942
133,-8.307159723461861
134,-8.587555672125259
135,-8.135052461659749
136,-8.114848952048398
137,-7.384067804591025
138,-8.359133623990363
139,-8.787581770732764
140,-11.018660229280222
141,-7.3808167486187655
142,-6.802521174485903
143,-7.429522482532651
144,-10.608467152185106
145,-6.754497194396429
146,-8.920763840366401
147,-7.404792768205101
148,-9.846054069188577
149,-6.9082291068485855
150,-6.228137457907157
151,-10.400596507392358
152,-8.397729042410983
153,-7.6275655149749255
154,-8.471720070238561
155,-8.403554616167416
156,-9.020180893712425
157,-7.349354130384082
158,-9.680542533341955
159,-9.117258123752412
160,-8.812635404553445
161,-7.707022075538578
162,-8.816294796528513
163,-8.623136196901806
164,-7.661774900480479
165,-7.848939313133858
166,-10.295754314427576
167,-5.746314412623826
168,-5.511739416628821
169,-7.564684803913577
170,-9.548877065170615
171,-7.725034166608271
172,-8.678649639136427
173,-6.509722374878146
174,-8.996579743307048
175,-8.784504677403541
176,-7.319873897556906
177,-8.386424606359004
178,-9.643112083524446
179,-8.386635815835103
180,-4.19484888808158
181,-9.514451321191267
182,-8.429002959266679
183,-7.703754957856097
184,-7.326184279957235
185,-6.992572888923794
186,-6.801818317911877
187,-7.3168534374020995
188,-9.04053394224328
189,-8.908307178818031
190,-7.390278621807479
191,-9.386887753364118
192,-6.720609793568046
193,-9.454434002459108
194,-8.048694414288121
195,-5.225593048670804
196,-5.656428284047994
197,-8.137099026877795
198,-7.162877284204263
199,-7.557822435125939
200,-5.857107454395021
201,-7.548775293019839
202,-8.548325435081983
203,-6.936639814647922
204,-6.399971605548826
205,-7.762244232447082
206,-6.88767499981973
207,-8.392494233710316
208,-11.01919360329606
209,-8.32071322927272
210,-8.475302468688405
211,-7.469895021901717
212,-9.808678611070441
213,-7.310389270694793
214,-9.633234544907108
215,-7.259670627197585
216,-8.817502429171142
217,-7.894460294367741
218,-7.019792788373163
219,-7.4791110757377925
220,-8.685829064273879
221,-8.812626464708952
222,-7.367637376785861
223,-7.742998006068685
224,-7.315968205193245
225,-8.170529301629745
226,-8.063540265597311
227,-5.125485101018642
228,-7.094480789851318
229,-9.267667218901735
230,-7.746786881723927
231,-6.586055474213653
232,-8.069463755335802
233,-7.294561574363506
234,-5.899666920613859
235,-8.177158354144018
236,-7.961317593741844
237,-8.124015279085736
238,-8.927766393177954
239,-8.968710579311463
240,-6.325211387069192
241,-8.242682315828255
242,-8.846037809152175
243,-7.192111997634168
244,-10.416827420222031
245,-8.622134710229531
246,-7.629503588671905
247,-7.1318414906015395
248,-6.509292973300583
249,-8.866517334359047
250,-6.925681351442021
251,-7.04889954159607
252,-7.296239568648909
253,-8.7926997009321
254,-6.8313950333519635
255,-7.209059902902997
256,-6.122445724910947
257,-5.946932978196157
258,-8.165131841497175
259,-10.654345483184564
260,-9.170644788443925
261,-7.742202341968591
262,-10.075502353790387
263,-7.247883773612788
264,-8.218815075505647
265,-7.310184470814509
266,-7.363438052441296
267,-8.237056784449585
268,-6.353530061676507
269,-6.607247554556833
270,-8.503183696747918
271,-8.72475287422266
272,-10.2852308497461
273,-9.71915719494082
274,-7.707224356791189
275,-8.341834494713925
276,-7.448021745042352
277,-8.229336211376534
278,-7.38891537187977
279,-9.41294166196461
280,-6.850056044003745
281,-8.261479322718134
282,-7.681977711828083
283,-7.4686861248844085
284,-5.820953509593059
285,-6.996849006238085
286,-7.101306972761565
287,-4.783762552070873
288,-10.110249139769982
